year,domestic_violence,handgun,rape,abuse,sexual_violence,state,state_abbrv
2004,4.0,8.0,27.5,35.0,0.0,Texas,TX
2005,4.0,9.5,26.5,29.5,0.0,Texas,TX
2006,3.0,8.5,21.5,25.0,0.0,Texas,TX
2007,3.0,8.5,21.0,24.0,0.0,Texas,TX
2008,4.0,9.5,24.0,23.5,0.0,Texas,TX
2009,4.0,9.5,23.5,24.5,0.0,Texas,TX
2010,3.5,8.0,26.0,23.5,0.0,Texas,TX
2011,3.0,10.0,24.0,20.5,0.0,Texas,TX
2012,3.0,9.5,28.5,20.0,0.0,Texas,TX
2013,3.0,8.0,32.0,19.5,0.0,Texas,TX
2014,3.5,7.0,31.5,20.5,0.0,Texas,TX
2015,4.0,8.0,28.5,18.5,0.0,Texas,TX
2016,4.0,7.0,27.5,18.0,0.0,Texas,TX
2017,4.0,6.0,22.5,18.0,0.0,Texas,TX
2018,4.0,5.0,18.5,19.0,0.0,Texas,TX
2019,4.0,5.0,17.0,17.5,0.0,Texas,TX
2020,3.5,6.0,16.0,17.0,0.0,Texas,TX
2021,3.0,5.0,14.5,16.0,0.0,Texas,TX
2004,6.0,4.0,28.0,34.5,0.0,Illinois,IL
2005,6.0,3.0,26.0,32.5,0.0,Illinois,IL
2006,4.0,3.0,22.5,28.0,0.0,Illinois,IL
2007,5.0,3.0,22.0,25.0,0.0,Illinois,IL
2008,5.0,4.0,23.0,25.0,0.0,Illinois,IL
2009,5.0,4.0,22.5,26.0,0.0,Illinois,IL
2010,5.0,4.0,24.0,24.5,0.0,Illinois,IL
2011,4.0,5.0,24.0,21.5,0.0,Illinois,IL
2012,4.0,5.0,27.5,21.0,0.0,Illinois,IL
2013,4.0,4.0,32.5,19.5,0.0,Illinois,IL
2014,4.5,4.0,32.0,22.5,0.0,Illinois,IL
2015,5.5,4.0,29.0,19.5,0.0,Illinois,IL
2016,4.0,4.0,28.0,19.0,0.0,Illinois,IL
2017,5.0,4.0,22.0,20.0,0.0,Illinois,IL
2018,5.0,3.0,18.5,20.5,0.0,Illinois,IL
2019,5.0,3.0,17.0,20.0,0.0,Illinois,IL
2020,4.5,4.0,16.5,18.0,0.0,Illinois,IL
2021,4.0,3.0,14.0,18.0,0.0,Illinois,IL
2004,0.0,0.0,0.0,23.0,0.0,Alaska,AK
2005,13.5,0.0,25.0,32.0,0.0,Alaska,AK
2006,11.0,9.0,22.5,27.0,0.0,Alaska,AK
2007,5.5,2.5,20.5,22.0,0.0,Alaska,AK
2008,4.5,9.0,23.5,22.5,0.0,Alaska,AK
2009,5.5,4.5,24.0,16.0,0.0,Alaska,AK
2010,8.0,6.0,25.0,23.0,0.0,Alaska,AK
2011,7.0,5.5,20.0,22.0,0.0,Alaska,AK
2012,5.5,7.0,24.5,20.0,0.0,Alaska,AK
2013,5.0,5.0,30.0,17.5,0.0,Alaska,AK
2014,6.0,6.0,30.5,20.0,0.0,Alaska,AK
2015,6.0,7.5,28.0,18.5,0.0,Alaska,AK
2016,4.5,5.5,25.0,17.0,0.0,Alaska,AK
2017,6.0,6.0,20.5,17.0,0.0,Alaska,AK
2018,5.5,5.0,18.0,18.0,0.0,Alaska,AK
2019,5.0,5.5,15.0,16.0,0.0,Alaska,AK
2020,5.5,4.5,12.5,14.5,0.0,Alaska,AK
2021,3.0,4.0,13.0,15.0,0.0,Alaska,AK
2004,0.0,0.0,0.0,14.5,0.0,North Dakota,ND
2005,0.0,0.0,10.5,12.0,0.0,North Dakota,ND
2006,0.0,0.0,11.5,14.0,0.0,North Dakota,ND
2007,1.5,4.5,8.0,13.5,0.0,North Dakota,ND
2008,0.0,3.0,9.0,13.0,0.0,North Dakota,ND
2009,1.0,0.0,9.0,14.5,0.0,North Dakota,ND
2010,1.5,1.5,8.0,13.5,0.0,North Dakota,ND
2011,1.0,2.0,9.0,12.0,0.0,North Dakota,ND
2012,2.0,2.0,10.5,9.0,0.0,North Dakota,ND
2013,2.0,3.0,13.0,8.5,0.0,North Dakota,ND
2014,2.0,3.0,13.0,10.0,0.0,North Dakota,ND
2015,2.0,2.0,12.0,10.0,0.0,North Dakota,ND
2016,2.5,2.0,10.5,8.0,0.0,North Dakota,ND
2017,1.0,2.0,8.5,8.5,0.0,North Dakota,ND
2018,2.0,1.5,8.0,8.5,0.0,North Dakota,ND
2019,2.0,1.0,6.5,8.0,0.0,North Dakota,ND
2020,2.0,2.0,5.5,7.0,0.0,North Dakota,ND
2021,2.0,1.5,5.5,7.0,0.0,North Dakota,ND
2004,7.0,3.5,24.0,40.0,0.0,Minnesota,MN
2005,4.5,6.0,25.5,40.0,0.0,Minnesota,MN
2006,5.0,4.5,19.0,32.5,0.0,Minnesota,MN
2007,4.0,5.0,21.0,28.0,0.0,Minnesota,MN
2008,3.0,5.0,21.0,29.5,0.0,Minnesota,MN
2009,4.5,6.0,21.0,26.5,0.0,Minnesota,MN
2010,4.5,5.0,24.5,27.0,0.0,Minnesota,MN
2011,4.0,5.0,22.0,24.5,0.0,Minnesota,MN
2012,3.5,7.0,27.0,23.0,0.0,Minnesota,MN
2013,4.0,6.0,30.0,23.0,0.0,Minnesota,MN
2014,4.0,5.5,30.0,24.0,0.0,Minnesota,MN
2015,4.0,6.0,28.5,24.5,1.0,Minnesota,MN
2016,4.0,5.0,28.0,23.0,0.0,Minnesota,MN
2017,4.0,4.0,21.5,23.0,0.0,Minnesota,MN
2018,4.0,4.0,18.0,24.0,1.0,Minnesota,MN
2019,4.0,4.0,17.5,21.0,1.0,Minnesota,MN
2020,4.0,7.0,16.5,19.0,0.0,Minnesota,MN
2021,4.0,4.5,15.5,18.5,0.0,Minnesota,MN
2004,6.0,5.5,33.0,36.5,2.5,Michigan,MI
2005,6.0,5.0,27.0,37.5,0.0,Michigan,MI
2006,5.0,4.0,22.0,29.5,0.0,Michigan,MI
2007,4.0,4.5,21.5,27.0,0.0,Michigan,MI
2008,5.0,5.0,23.5,29.0,0.0,Michigan,MI
2009,5.5,6.0,23.0,27.5,0.5,Michigan,MI
2010,5.0,5.0,26.0,28.0,0.0,Michigan,MI
2011,4.5,5.5,24.0,24.5,0.0,Michigan,MI
2012,4.0,6.0,27.0,22.0,0.0,Michigan,MI
2013,4.0,6.0,32.0,21.0,0.0,Michigan,MI
2014,4.0,5.5,29.0,21.5,0.0,Michigan,MI
2015,5.0,5.5,28.0,20.5,0.0,Michigan,MI
2016,5.0,5.5,26.0,19.0,0.0,Michigan,MI
2017,4.5,5.0,23.0,20.0,0.0,Michigan,MI
2018,5.0,4.5,18.0,20.5,0.0,Michigan,MI
2019,4.0,4.0,16.0,18.5,0.0,Michigan,MI
2020,4.0,6.0,15.5,16.0,0.0,Michigan,MI
2021,4.0,4.0,14.0,16.0,0.0,Michigan,MI
2004,5.0,10.5,24.0,26.5,0.0,Tennessee,TN
2005,5.0,8.5,24.0,27.5,0.0,Tennessee,TN
2006,2.0,7.5,22.5,27.5,0.0,Tennessee,TN
2007,5.0,8.0,23.0,27.5,0.0,Tennessee,TN
2008,4.0,11.0,25.0,21.5,0.0,Tennessee,TN
2009,5.5,12.0,25.5,23.0,0.0,Tennessee,TN
2010,5.0,9.0,24.5,25.0,0.0,Tennessee,TN
2011,5.0,9.0,25.0,23.0,0.0,Tennessee,TN
2012,4.5,10.0,30.5,23.0,0.0,Tennessee,TN
2013,4.0,9.0,33.0,20.5,0.0,Tennessee,TN
2014,4.0,8.0,33.5,21.5,0.0,Tennessee,TN
2015,5.0,10.0,30.5,21.5,0.0,Tennessee,TN
2016,5.0,9.0,30.0,20.0,0.0,Tennessee,TN
2017,4.0,8.5,24.0,19.5,0.0,Tennessee,TN
2018,4.5,7.0,19.0,20.0,0.0,Tennessee,TN
2019,4.0,6.5,18.5,18.0,0.0,Tennessee,TN
2020,4.0,9.0,16.0,17.0,0.0,Tennessee,TN
2021,4.0,5.5,15.0,16.5,0.0,Tennessee,TN
2004,0.0,0.0,25.5,26.5,0.0,Vermont,VT
2005,0.0,0.0,16.5,48.5,0.0,Vermont,VT
2006,0.0,0.0,30.0,33.0,0.0,Vermont,VT
2007,0.0,0.0,28.0,34.5,0.0,Vermont,VT
2008,0.0,4.0,19.5,32.5,0.0,Vermont,VT
2009,0.0,6.0,22.5,26.0,0.0,Vermont,VT
2010,4.0,4.0,20.5,17.0,0.0,Vermont,VT
2011,4.5,3.5,26.5,28.5,0.0,Vermont,VT
2012,7.0,4.0,27.5,29.0,0.0,Vermont,VT
2013,5.5,6.5,28.5,26.0,0.0,Vermont,VT
2014,4.0,3.5,32.5,27.0,0.0,Vermont,VT
2015,3.5,4.5,29.5,25.0,0.0,Vermont,VT
2016,5.5,4.5,29.5,24.5,0.0,Vermont,VT
2017,4.0,4.0,23.5,24.0,0.0,Vermont,VT
2018,5.5,4.0,20.0,24.5,0.0,Vermont,VT
2019,5.0,5.0,17.5,25.5,0.0,Vermont,VT
2020,3.0,6.0,18.0,21.0,0.0,Vermont,VT
2021,4.0,3.5,14.5,18.0,0.0,Vermont,VT
